commune_name_ascii,daira_name_ascii,wilaya_name_ascii
تيرسين,Ouled Brahim,Saïda
أولاد إبراهيم,Ouled Brahim,Saïda
عين السلطان,Ouled Brahim,Saïda
المعمورة,El Hassasna,Saïda
الحساسنة,El Hassasna,Saïda
عين السخونة,El Hassasna,Saïda
سيدي بوبكر,Sidi Boubekeur,Saïda
أولاد خالد,Sidi Boubekeur,Saïda
هونت,Sidi Boubekeur,Saïda
يوب,Youb,Saïda
دوي ثابت,Youb,Saïda
سيدي احمد,Ain El Hadjar,Saïda
مولاي العربي,Ain El Hadjar,Saïda
عين الحجر,Ain El Hadjar,Saïda
سيدي عمر,Sidi Boubekeur,Saïda
عين بوزيان,Sidi Mezghiche,Skikda
صالح بو الشعور,El Harrouch,Skikda
الحدائق,El Hadaiek,Skikda
زردازة,El Harrouch,Skikda
أولاد حبابة,El Harrouch,Skikda
بني ولبان,Sidi Mezghiche,Skikda
سيدي مزغيش,Sidi Mezghiche,Skikda
بني بشير,Ramdane Djamel,Skikda
رمضان جمال,Ramdane Djamel,Skikda
بين الويدان,Tamalous,Skikda
مجاز الدشيش,El Harrouch,Skikda
تمالوس,Tamalous,Skikda
عين قشرة,Ain Kechra,Skikda
الولجة بولبلوط,Ain Kechra,Skikda
أم الطوب,Oum Toub,Skikda
الغدير,Azzaba,Skikda
الكركرة,Tamalous,Skikda
الحروش,El Harrouch,Skikda
الزيتونة,Zitouna,Skikda
أولاد عطية,Ouled Attia,Skikda
وادي الزهور,Ouled Attia,Skikda
القل,Collo,Skikda
الشرايع,Collo,Skikda
بني زيد,Collo,Skikda
خناق مايو,Ouled Attia,Skikda
المرسى,Ben Azzouz,Skikda
بن عزوز,Ben Azzouz,Skikda
بكوش لخضر,Ben Azzouz,Skikda
السبت,Azzaba,Skikda
عين شرشار,Azzaba,Skikda
عزابة,Azzaba,Skikda
بوشطاطة,El Hadaiek,Skikda
فلفلة,Skikda,Skikda
حمادي كرومة,Skikda,Skikda
سكيكدة,Skikda,Skikda
عين زويت,El Hadaiek,Skikda
جندل سعدي محمد,Azzaba,Skikda
قنواع,Zitouna,Skikda
سيدي علي بن يوب,Sidi Ali Ben Youb,Sidi Bel Abbès
مولاي سليسن,Moulay Slissen,Sidi Bel Abbès
الحصيبة,Moulay Slissen,Sidi Bel Abbès
عين تندمين,Moulay Slissen,Sidi Bel Abbès
تنيرة,Tenira,Sidi Bel Abbès
وادي سفيون,Tenira,Sidi Bel Abbès
حاسي دحو,Tenira,Sidi Bel Abbès
وادي تاوريرة,Merine,Sidi Bel Abbès
بن عشيبة شلية,Tenira,Sidi Bel Abbès
سيدي يعقوب,Sidi Lahcene,Sidi Bel Abbès
سيدي لحسن,Sidi Lahcene,Sidi Bel Abbès
سيدي خالد,Sidi Lahcene,Sidi Bel Abbès
طابية,Sidi Ali Ben Youb,Sidi Bel Abbès
سيدي ابراهيم,Ain El Berd,Sidi Bel Abbès
العمارنة,Sidi Lahcene,Sidi Bel Abbès
بوخنفيس,Sidi Ali Ben Youb,Sidi Bel Abbès
حاسي زهانة,Ben Badis,Sidi Bel Abbès
شيطوان البلايلة,Ben Badis,Sidi Bel Abbès
بن باديس,Ben Badis,Sidi Bel Abbès
بضرابين المقراني,Ben Badis,Sidi Bel Abbès
سفيزف,Sfisef,Sidi Bel Abbès
مسيد,Sfisef,Sidi Bel Abbès
بوجبهة البرج,Sfisef,Sidi Bel Abbès
عين أدن,Sfisef,Sidi Bel Abbès
سيدي حمادوش,Ain El Berd,Sidi Bel Abbès
سيدي شعيب,Marhoum,Sidi Bel Abbès
مكدرة,Ain El Berd,Sidi Bel Abbès
عين البرد,Ain El Berd,Sidi Bel Abbès
رجم دموش,Ras El Ma,Sidi Bel Abbès
راس الماء,Ras El Ma,Sidi Bel Abbès
وادي السبع,Ras El Ma,Sidi Bel Abbès
مرحوم,Marhoum,Sidi Bel Abbès
سيدي بلعباس,Sidi Bel Abbes,Sidi Bel Abbès
عين الثريد,Tessala,Sidi Bel Abbès
السهالة الثورة,Tessala,Sidi Bel Abbès
تسالة,Tessala,Sidi Bel Abbès
بلعربي,Mostefa  Ben Brahim,Sidi Bel Abbès
مصطفى بن ابراهيم,Mostefa  Ben Brahim,Sidi Bel Abbès
تلموني,Mostefa  Ben Brahim,Sidi Bel Abbès
زروالة,Mostefa  Ben Brahim,Sidi Bel Abbès
الضاية,Telagh,Sidi Bel Abbès
مزاورو,Telagh,Sidi Bel Abbès
تغاليمت,Telagh,Sidi Bel Abbès
تلاغ,Telagh,Sidi Bel Abbès
عين قادة,Sidi Ali Boussidi,Sidi Bel Abbès
لمطار,Sidi Ali Boussidi,Sidi Bel Abbès
سيدي علي بوسيدي,Sidi Ali Boussidi,Sidi Bel Abbès
سيدي دحو الزاير,Sidi Ali Boussidi,Sidi Bel Abbès
بئر الحمام,Marhoum,Sidi Bel Abbès
مرين,Merine,Sidi Bel Abbès
تفسور,Merine,Sidi Bel Abbès
تاودموت,Merine,Sidi Bel Abbès
عنابة,Annaba,Annaba
سرايدي,Annaba,Annaba
برحال,Berrahal,Annaba
واد العنب,Berrahal,Annaba
الحجار,El Hadjar,Annaba
سيدي عمار,El Hadjar,Annaba
البوني,El Bouni,Annaba
عين الباردة,Ain El Berda,Annaba
الشرفة,Ain El Berda,Annaba
العلمة,Ain El Berda,Annaba
التريعات,Berrahal,Annaba
شطايبي,Chetaibi,Annaba
نشماية,Guelaat Bousbaa,Guelma
بوحمدان,Hammam Debagh,Guelma
حمام دباغ,Hammam Debagh,Guelma
الركنية,Hammam Debagh,Guelma
الدهوارة,Hammam N'bails,Guelma
حمام النبايل,Hammam N'bails,Guelma
قالمة,Guelma,Guelma
بومهرة أحمد,Guelaat Bousbaa,Guelma
عين بن بيضاء,Bouchegouf,Guelma
بوشقوف,Bouchegouf,Guelma
مجاز الصفاء,Bouchegouf,Guelma
وادي فراغة,Bouchegouf,Guelma
بوعاتي محمود,Heliopolis,Guelma
الفجوج,Heliopolis,Guelma
هيليوبوليس,Heliopolis,Guelma
مجاز عمار,Ain Hessainia,Guelma
هواري بومدين,Ain Hessainia,Guelma
رأس العقبة,Ain Hessainia,Guelma
سلاوة عنونة,Ain Hessainia,Guelma
جبالة الخميسي,Guelaat Bousbaa,Guelma
برج صباط,Oued Zenati,Guelma
وادي الزناتي,Oued Zenati,Guelma
عين رقادة,Oued Zenati,Guelma
عين العربي,Ain Makhlouf,Guelma
عين مخلوف,Ain Makhlouf,Guelma
تاملوكة,Ain Makhlouf,Guelma
عين صندل,Khezaras,Guelma
بوحشانة,Khezaras,Guelma
لخزارة,Khezaras,Guelma
بلخير,Guelaat Bousbaa,Guelma
بني مزلين,Guelaat Bousbaa,Guelma
قلعة بوصبع,Guelaat Bousbaa,Guelma
وادي الشحم,Hammam N'bails,Guelma
بن جراح,Guelma,Guelma
ديدوش مراد,Hamma Bouziane,Constantine
حامة بوزيان,Hamma Bouziane,Constantine
بني حميدان,Zighoud Youcef,Constantine
زيغود يوسف,Zighoud Youcef,Constantine
عين السمارة,El Khroub,Constantine
الخروب,El Khroub,Constantine
أولاد رحمون,El Khroub,Constantine
عين عبيد,Ain Abid,Constantine
أبن باديس الهرية,Ain Abid,Constantine
ابن زياد,Ibn Ziad,Constantine
بوجريو مسعود,Ibn Ziad,Constantine
قسنطينة,Constantine,Constantine
أولاد هلال,Ouled Antar,Médéa
السواقي,Souaghi,Médéa
قصر البخاري,Ksar El Boukhari,Médéa
مفاتحة,Ksar El Boukhari,Médéa
السانق,Ksar El Boukhari,Médéa
العزيزية,El Azizia,Médéa
مغراوة,El Azizia,Médéa
ميهوب,El Azizia,Médéa
بوعيش,Chahbounia,Médéa
بوغزول,Chahbounia,Médéa
الشهبونية,Chahbounia,Médéa
حناشة,Ouamri,Médéa
عوامري,Ouamri,Médéa
وادي حربيل,Ouamri,Médéa
بني سليمان,Beni Slimane,Médéa
بوعيشون,Si Mahdjoub,Médéa
أولاد بوعشرة,Si Mahdjoub,Médéa
سي المحجوب,Si Mahdjoub,Médéa
بوسكن,Beni Slimane,Médéa
سيدي الربيع,Beni Slimane,Médéa
البرواقية,Berrouaghia,Médéa
أولاد دايد,Berrouaghia,Médéa
الربعية,Berrouaghia,Médéa
مجبر,Seghouane,Médéa
ثلاث دوائر,Seghouane,Médéa
الزبيرية,Seghouane,Médéa
العيساوية,Tablat,Médéa
الحوضان,Tablat,Médéa
مزغنة,Tablat,Médéa
تابلاط,Tablat,Médéa
بوغار,Ouled Antar,Médéa
سغوان,Seghouane,Médéa
ذراع السمار,Medea,Médéa
المدية,Medea,Médéa
تمسقيدة,Medea,Médéa
بن شكاو,Ouzera,Médéa
الحمدانية,Ouzera,Médéa
وزرة,Ouzera,Médéa
تيزي مهدي,Ouzera,Médéa
عين بوسيف,Ain Boucif,Médéa
العوينات,Ain Boucif,Médéa
الكاف الاخضر,Ain Boucif,Médéa
أولاد امعرف,Ain Boucif,Médéa
سيدي دامد,Ain Boucif,Médéa
بعطة,El Omaria,Médéa
العمارية,El Omaria,Médéa
أولاد إبراهيم,El Omaria,Médéa
بئر بن عابد,Guelb El Kebir,Médéa
القلب الكبير,Guelb El Kebir,Médéa
سدراية,Guelb El Kebir,Médéa
عين اقصير,Chellalat El Adhaoura,Médéa
شلالة العذاورة,Chellalat El Adhaoura,Médéa
شنيقل,Chellalat El Adhaoura,Médéa
تفراوت,Chellalat El Adhaoura,Médéa
بوشراحيل,Sidi Naamane,Médéa
خمس جوامع,Sidi Naamane,Médéa
سيدي نعمان,Sidi Naamane,Médéa
عزيز,Aziz,Médéa
دراق,Aziz,Médéa
أم الجليل,Aziz,Médéa
جواب,Souaghi,Médéa
سيدي زهار,Souaghi,Médéa
سيدي زيان,Souaghi,Médéa
أولاد عنتر,Ouled Antar,Médéa
فرناقة,Ain Nouicy,Mostaganem
وادي الخير,Ain Tedeles,Mostaganem
الحسيان (بني ياحي,Ain Nouicy,Mostaganem
حاسي ماماش,Hassi Mameche,Mostaganem
مزغران,Hassi Mameche,Mostaganem
ستيدية,Hassi Mameche,Mostaganem
عين تادلس,Ain Tedeles,Mostaganem
سيدي بلعطار,Ain Tedeles,Mostaganem
سور,Ain Tedeles,Mostaganem
عين بودينار,Kheir Eddine,Mostaganem
خير الدين,Kheir Eddine,Mostaganem
صيادة,Kheir Eddine,Mostaganem
سيدي علي,Sidi Ali,Mostaganem
تزقايت,Sidi Ali,Mostaganem
بن عبد المالك رمضان,Sidi Lakhdar,Mostaganem
مستغانم,Mostaganem,Mostaganem
حجاج,Sidi Lakhdar,Mostaganem
سيدي لخضر,Sidi Lakhdar,Mostaganem
عشعاشة,Achaacha,Mostaganem
خضرة,Achaacha,Mostaganem
نكمارية,Achaacha,Mostaganem
أولاد بوغالم,Achaacha,Mostaganem
بوقيراط,Bouguirat,Mostaganem
صفصاف,Bouguirat,Mostaganem
سيرات,Bouguirat,Mostaganem
السوافلية,Bouguirat,Mostaganem
عين سيدي الشريف,Mesra,Mostaganem
منصورة,Mesra,Mostaganem
ماسرة,Mesra,Mostaganem
الطواهرية,Mesra,Mostaganem
عين نويسي,Ain Nouicy,Mostaganem
أولاد مع الله,Sidi Ali,Mostaganem
شلال,Chellal,M'Sila
أولاد ماضي,Chellal,M'Sila
خطوطي سد الجير,Chellal,M'Sila
بلعايبة,Magra,M'Sila
برهوم,Magra,M'Sila
دهاهنة,Magra,M'Sila
مقرة,Magra,M'Sila
بني يلمان,Sidi Aissa,M'Sila
بوطي السايح,Sidi Aissa,M'Sila
سيدي عيسى,Sidi Aissa,M'Sila
عين الحجل,Ain El Hadjel,M'Sila
سيدي هجرس,Ain El Hadjel,M'Sila
بوسعادة,Bousaada,M'Sila
الهامل,Bousaada,M'Sila
ولتام,Bousaada,M'Sila
بن زوه,Ouled Sidi Brahim,M'Sila
أولاد سيدي ابراهيم,Ouled Sidi Brahim,M'Sila
سيدي عامر,Sidi Ameur,M'Sila
تامسة,Sidi Ameur,M'Sila
بن سرور,Ben Srour,M'Sila
محمد بوضياف,Ben Srour,M'Sila
أولاد سليمان,Ben Srour,M'Sila
زرزور,Ben Srour,M'Sila
عين الملح,Ain El Melh,M'Sila
عين فارس,Ain El Melh,M'Sila
عين الريش,Ain El Melh,M'Sila
بئر فضة,Ain El Melh,M'Sila
سيدي امحمد,Ain El Melh,M'Sila
امجدل,Medjedel,M'Sila
مناعة,Medjedel,M'Sila
جبل مساعد,Djebel Messaad,M'Sila
سليم,Djebel Messaad,M'Sila
المسيلة,M'sila,M'Sila
حمام الضلعة,Hammam Dalaa,M'Sila
ونوغة,Hammam Dalaa,M'Sila
أولاد منصور,Hammam Dalaa,M'Sila
تارمونت,Hammam Dalaa,M'Sila
المعاضيد,Ouled Derradj,M'Sila
المطارفة,Ouled Derradj,M'Sila
معاريف,Chellal,M'Sila
أولاد دراج,Ouled Derradj,M'Sila
السوامع,Ouled Derradj,M'Sila
الحوامد,Khoubana,M'Sila
خبانة,Khoubana,M'Sila
مسيف,Khoubana,M'Sila
عين الخضراء,Magra,M'Sila
أولاد عدي لقبالة,Ouled Derradj,M'Sila
وادي الأبطال,Oued El Abtal,Mascara
سيدي عبد المومن,Mohammadia,Mascara
سجرارة,Mohammadia,Mascara
المحمدية,Mohammadia,Mascara
تيغنيف,Tighennif,Mascara
مقطع الدوز,Mohammadia,Mascara
فراقيق,Mohammadia,Mascara
الغمري,Mohammadia,Mascara
زهانة,Zahana,Mascara
القعدة,Zahana,Mascara
رأس عين عميروش,Oggaz,Mascara
عقاز,Oggaz,Mascara
العلايمية,Oggaz,Mascara
سيق,Sig,Mascara
الشرفاء,Sig,Mascara
بوهني,Sig,Mascara
المأمونية,Ain Fares,Mascara
القطنة,Bouhanifia,Mascara
عين فارس,Ain Fares,Mascara
غروس,Aouf,Mascara
بنيان,Aouf,Mascara
عوف,Aouf,Mascara
قرجوم,Oued Taria,Mascara
عين أفرص,Ain Fekan,Mascara
عين فكان,Ain Fekan,Mascara
خلوية,El Bordj,Mascara
المنور,El Bordj,Mascara
البرج,El Bordj,Mascara
سيدي بوسعيد,Ghriss,Mascara
المطمور,Ghriss,Mascara
سيدي قادة,Tighennif,Mascara
ماقضة,Ghriss,Mascara
معسكر,Mascara,Mascara
بوحنيفية,Bouhanifia,Mascara
غريس,Ghriss,Mascara
حسين,Bouhanifia,Mascara
القرط,Tizi,Mascara
فروحة,Tizi,Mascara
تيزي,Tizi,Mascara
السهايلية,Tighennif,Mascara
ماوسة,Ghriss,Mascara
سيدي عبد الجبار,Oued El Abtal,Mascara
الحشم,Hachem,Mascara
نسمط,Hachem,Mascara
زلامطة,Hachem,Mascara
عين فراح,Oued El Abtal,Mascara
وادي التاغية,Oued Taria,Mascara
ورقلة,Ouargla,Ouargla
حاسي مسعود,Hassi Messaoud,Ouargla
عين البيضاء,Sidi Khouiled,Ouargla
حاسي بن عبد الله,Sidi Khouiled,Ouargla
سيدي خويلد,Sidi Khouiled,Ouargla
البرمة,El Borma,Ouargla
الرويسات,Ouargla,Ouargla
انقوسة,N'goussa,Ouargla
سيدي الشحمي,Es Senia,Oran
حاسي مفسوخ,Gdyel,Oran
بئر الجير,Bir El Djir,Oran
حاسي بن عقبة,Bir El Djir,Oran
قديل,Gdyel,Oran
حاسي بونيف,Bir El Djir,Oran
الكرمة,Es Senia,Oran
السانية,Es Senia,Oran
بن فريحة,Gdyel,Oran
أرزيو,Arzew,Oran
سيدي بن يبقى,Arzew,Oran
عين البية,Bethioua,Oran
بطيوة,Bethioua,Oran
مرسى الحجاج,Bethioua,Oran
عين الترك,Ain Turk,Oran
وهران,Oran,Oran
العنصر,Ain Turk,Oran
المرسى الكبير,Ain Turk,Oran
بوفاتيس,Oued Tlelat,Oran
البراية,Oued Tlelat,Oran
وادي تليلات,Oued Tlelat,Oran
عين الكرمة,Boutlelis,Oran
بوتليليس,Boutlelis,Oran
مسرغين,Boutlelis,Oran
بوسفر,Ain Turk,Oran
طفراوي,Oued Tlelat,Oran
عين العراك,Labiodh Sidi Cheikh,El Bayadh
كراكدة,Brezina,El Bayadh
سيدي سليمان,Boualem,El Bayadh
سيدي عامر,Boualem,El Bayadh
بوعلام,Boualem,El Bayadh
البنود,Labiodh Sidi Cheikh,El Bayadh
بوقطب,Bougtoub,El Bayadh
الخيثر,Bougtoub,El Bayadh
توسمولين,Bougtoub,El Bayadh
سيدي طيفور,Boualem,El Bayadh
ستيتن,Boualem,El Bayadh
البيض,El Bayadh,El Bayadh
رقاصة,Rogassa,El Bayadh
المحرة,Chellala,El Bayadh
الكاف الأحمر,Rogassa,El Bayadh
بريزينة,Brezina,El Bayadh
الغاسول,Brezina,El Bayadh
الأبيض سيدي الشيخ,Labiodh Sidi Cheikh,El Bayadh
بوسمغون,Boussemghoun,El Bayadh
الشقيق,Rogassa,El Bayadh
شلالة,Chellala,El Bayadh
اربوات,Labiodh Sidi Cheikh,El Bayadh
برج عمر إدريس,In Amenas,Illizi
دبداب,In Amenas,Illizi
إن أمناس,In Amenas,Illizi
إيليزي,Illizi,Illizi
الحمادية,El Hamadia,Bordj Bou Arreridj
أولاد سيدي ابراهيم,Mansourah,Bordj Bou Arreridj
عين تاغروت,Ain Taghrout,Bordj Bou Arreridj
تيكستار,Ain Taghrout,Bordj Bou Arreridj
بليمور,Bordj Ghedir,Bordj Bou Arreridj
العناصر,Bordj Ghedir,Bordj Bou Arreridj
غيلاسة,Bordj Ghedir,Bordj Bou Arreridj
تقلعيت,Bordj Ghedir,Bordj Bou Arreridj
برج الغدير,Bordj Ghedir,Bordj Bou Arreridj
العش,El Hamadia,Bordj Bou Arreridj
سيدي أمبارك,Bir Kasdali,Bordj Bou Arreridj
خليل,Bir Kasdali,Bordj Bou Arreridj
بئر قاصد علي,Bir Kasdali,Bordj Bou Arreridj
تفرق,Djaafra,Bordj Bou Arreridj
الماين,Djaafra,Bordj Bou Arreridj
جعافرة,Djaafra,Bordj Bou Arreridj
القلة,Djaafra,Bordj Bou Arreridj
ثنية النصر,Medjana,Bordj Bou Arreridj
المهير,Mansourah,Bordj Bou Arreridj
القصور,El Hamadia,Bordj Bou Arreridj
المنصورة,Mansourah,Bordj Bou Arreridj
حرازة,Mansourah,Bordj Bou Arreridj
الرابطة,El Hamadia,Bordj Bou Arreridj
الياشير,Medjana,Bordj Bou Arreridj
حسناوة,Medjana,Bordj Bou Arreridj
مجانة,Medjana,Bordj Bou Arreridj
عين تسرة,Ras El Oued,Bordj Bou Arreridj
أولاد أبراهم,Ras El Oued,Bordj Bou Arreridj
رأس الوادي,Ras El Oued,Bordj Bou Arreridj
برج زمورة,Bordj Zemmoura,Bordj Bou Arreridj
أولاد دحمان,Bordj Zemmoura,Bordj Bou Arreridj
تسامرت,Bordj Zemmoura,Bordj Bou Arreridj
برج بوعريرج,Bordj Bou Arreridj,Bordj Bou Arreridj
بن داود,Mansourah,Bordj Bou Arreridj
الخروبة,Boudouaou,Boumerdès
دلس,Dellys,Boumerdès
بن شود,Dellys,Boumerdès
أعفير,Dellys,Boumerdès
الثنية,Thenia,Boumerdès
بني عمران,Thenia,Boumerdès
خميس الخشنة,Khemis El Khechna,Boumerdès
عمال,Thenia,Boumerdès
تيمزريت,Isser,Boumerdès
زموري,Bordj Menaiel,Boumerdès
الاربعطاش,Khemis El Khechna,Boumerdès
يسر,Isser,Boumerdès
شعبة العامر,Isser,Boumerdès
أولاد عيسى,Naciria,Boumerdès
الناصرية,Naciria,Boumerdès
بوزقزة قدارة,Boudouaou,Boumerdès
سوق الحد,Thenia,Boumerdès
سيدي داود,Baghlia,Boumerdès
بغلية,Baghlia,Boumerdès
لقاطة,Bordj Menaiel,Boumerdès
جنات,Bordj Menaiel,Boumerdès
تيجلابين,Boumerdes,Boumerdès
سي مصطفى,Isser,Boumerdès
أولاد هداج,Boudouaou,Boumerdès
أولاد موسى,Khemis El Khechna,Boumerdès
بومرداس,Boumerdes,Boumerdès
قورصو,Boumerdes,Boumerdès
برج منايل,Bordj Menaiel,Boumerdès
بودواو,Boudouaou,Boumerdès
بودواو البحري,Boudouaou,Boumerdès
تاورقة,Baghlia,Boumerdès
حمادي,Khemis El Khechna,Boumerdès
عين العسل,El Tarf,El Tarf
بوقوس,El Tarf,El Tarf
الطارف,El Tarf,El Tarf
الزيتونة,El Tarf,El Tarf
البسباس,Besbes,El Tarf
عين الكرمة,Bouhadjar,El Tarf
بوحجار,Bouhadjar,El Tarf
حمام بني صالح,Bouhadjar,El Tarf
وادي الزيتون,Bouhadjar,El Tarf
بن مهيدي,Ben M'hidi,El Tarf
بريحان,Ben M'hidi,El Tarf
شبيطة مختار,Drean,El Tarf
الشط,Ben M'hidi,El Tarf
العيون,El Kala,El Tarf
القالة,El Kala,El Tarf
السوارخ,El Kala,El Tarf
زريزر,Besbes,El Tarf
بوثلجة,Bouteldja,El Tarf
الشافية,Bouteldja,El Tarf
بحيرة الطيور,Bouteldja,El Tarf
شحاني,Drean,El Tarf
رمل السوق,El Kala,El Tarf
عصفور,Besbes,El Tarf
الذرعـان,Drean,El Tarf
تندوف,Tindouf,Tindouf
أم العسل,Tindouf,Tindouf
خميستي,Khemisti,Tissemsilt
ثنية الاحد,Theniet El Had,Tissemsilt
أولاد بسام,Tissemsilt,Tissemsilt
سيدي بوتوشنت,Theniet El Had,Tissemsilt
تيسمسيلت,Tissemsilt,Tissemsilt
سيدي العنتري,Lardjem,Tissemsilt
بني شعيب,Bordj Bounaama,Tissemsilt
بني لحسن,Bordj Bounaama,Tissemsilt
سيدي عابد,Ammari,Tissemsilt
سيدي سليمان,Bordj Bounaama,Tissemsilt
بوقائد,Lazharia,Tissemsilt
الأربعاء,Lazharia,Tissemsilt
الأزهرية,Lazharia,Tissemsilt
لرجام,Lardjem,Tissemsilt
الملعب,Lardjem,Tissemsilt
العيون,Khemisti,Tissemsilt
تملاحت,Lardjem,Tissemsilt
اليوسفية,Bordj Emir Abdelkader,Tissemsilt
برج الأمير عبد القادر,Bordj Emir Abdelkader,Tissemsilt
عماري,Ammari,Tissemsilt
المعاصم,Ammari,Tissemsilt
برج بونعامة,Bordj Bounaama,Tissemsilt
دوار الماء,Taleb Larbi,El Oued
العقلة,Robbah,El Oued
المقرن,Magrane,El Oued
سيدي عون,Magrane,El Oued
اميه وانسة,Mih Ouensa,El Oued
كوينين,El Oued,El Oued
البياضة,Bayadha,El Oued
النخلة,Robbah,El Oued
الرباح,Robbah,El Oued
قمار,Guemar,El Oued
بن  قشة,Taleb Larbi,El Oued
ورماس,Guemar,El Oued
تغزوت,Guemar,El Oued
الحمراية,Reguiba,El Oued
الرقيبة,Reguiba,El Oued
الدبيلة,Debila,El Oued
حساني عبد الكريم,Debila,El Oued
حاسي خليفة,Hassi Khalifa,El Oued
الطريفاوي,Hassi Khalifa,El Oued
الطالب العربي,Taleb Larbi,El Oued
وادي العلندة,Mih Ouensa,El Oued
الوادي,El Oued,El Oued
خيران,Chechar,Khenchela
بابار,Babar,Khenchela
المحمل,Ouled Rechache,Khenchela
أولاد رشاش,Ouled Rechache,Khenchela
جلال,Chechar,Khenchela
يابوس,Bouhmama,Khenchela
خنشلة,Khenchela,Khenchela
قايس,Kais,Khenchela
شلية,Bouhmama,Khenchela
الرميلة,Kais,Khenchela
تاوزيانت,Kais,Khenchela
بغاي,El Hamma,Khenchela
الحامة,El Hamma,Khenchela
انسيغة,El Hamma,Khenchela
طامزة,El Hamma,Khenchela
عين الطويلة,Ain Touila,Khenchela
متوسة,Ain Touila,Khenchela
بوحمامة,Bouhmama,Khenchela
الولجة,Chechar,Khenchela
مصارة,Bouhmama,Khenchela
ششار,Chechar,Khenchela
سوق أهراس,Souk Ahras,Souk Ahras
عين سلطان,Sedrata,Souk Ahras
سدراتة,Sedrata,Souk Ahras
الحنانشة,Mechroha,Souk Ahras
المشروحة,Mechroha,Souk Ahras
عين الزانة,Ouled Driss,Souk Ahras
أولاد إدريس,Ouled Driss,Souk Ahras
ترقالت,Oum El Adhaim,Souk Ahras
أم العظايم,Oum El Adhaim,Souk Ahras
وادي الكبريت,Oum El Adhaim,Souk Ahras
تيفاش,M'daourouche,Souk Ahras
الراقوبة,M'daourouche,Souk Ahras
الدريعة,Taoura,Souk Ahras
تاورة,Taoura,Souk Ahras
الزعرورية,Taoura,Souk Ahras
الحدادة,Haddada,Souk Ahras
الخضارة,Haddada,Souk Ahras
أولاد مومن,Haddada,Souk Ahras
المراهنة,Merahna,Souk Ahras
ويلان,Merahna,Souk Ahras
سيدي فرج,Merahna,Souk Ahras
بئر بوحوش,Bir Bouhouche,Souk Ahras
سافل الويدان,Bir Bouhouche,Souk Ahras
خميسة,Sedrata,Souk Ahras
مداوروش,M'daourouche,Souk Ahras
الزوابي,Bir Bouhouche,Souk Ahras
حجوط,Hadjout,Tipaza
مراد,Hadjout,Tipaza
مناصر,Sidi Amar,Tipaza
أغبال,Gouraya,Tipaza
الناظور,Sidi Amar,Tipaza
سيدي عامر,Sidi Amar,Tipaza
قوراية,Gouraya,Tipaza
مسلمون,Gouraya,Tipaza
شرشال,Cherchell,Tipaza
حجرة النص,Cherchell,Tipaza
سيدي غيلاس,Cherchell,Tipaza
الداموس,Damous,Tipaza
الأرهاط,Damous,Tipaza
فوكة,Fouka,Tipaza
عين تاقورايت,Bou Ismail,Tipaza
بوهارون,Bou Ismail,Tipaza
بواسماعيل,Bou Ismail,Tipaza
خميستي,Bou Ismail,Tipaza
أحمر العين,Ahmar El Ain,Tipaza
بورقيقة,Ahmar El Ain,Tipaza
دواودة,Fouka,Tipaza
سيدي راشد,Ahmar El Ain,Tipaza
الحطاطبة,Kolea,Tipaza
الشعيبة,Kolea,Tipaza
القليعة,Kolea,Tipaza
سيدي سميان,Cherchell,Tipaza
تيبازة,Tipaza,Tipaza
بني ميلك,Damous,Tipaza
مشيرة,Teleghma,Mila
العياضي برباس,Ain Beida Harriche,Mila
 عين البيضاء أحريش,Ain Beida Harriche,Mila
تسالة لمطاعي,Terrai Bainen,Mila
ترعي باينان,Terrai Bainen,Mila
اعميرة اراس,Terrai Bainen,Mila
تسدان حدادة,Tassadane Haddada,Mila
مينار زارزة,Tassadane Haddada,Mila
سيدي مروان,Sidi Merouane,Mila
الشيقارة,Sidi Merouane,Mila
حمالة,Grarem Gouga,Mila
القرارم قوقة,Grarem Gouga,Mila
تيبرقنت,Rouached,Mila
الرواشد,Rouached,Mila
دراحي بوصلاح,Bouhatem,Mila
زغاية,Oued Endja,Mila
وادي النجاء,Oued Endja,Mila
أحمد راشدي,Oued Endja,Mila
تاجنانت,Tadjenanet,Mila
عين الملوك,Chelghoum Laid,Mila
أولاد اخلوف,Tadjenanet,Mila
بن يحي عبد الرحمن,Tadjenanet,Mila
التلاغمة,Teleghma,Mila
وادي سقان,Teleghma,Mila
وادي العثمانية,Chelghoum Laid,Mila
عين التين,Mila,Mila
شلغوم العيد,Chelghoum Laid,Mila
يحي بني قشة,Ferdjioua,Mila
فرجيوة,Ferdjioua,Mila
سيدي خليفة,Mila,Mila
ميلة,Mila,Mila
بوحاتم,Bouhatem,Mila
خميس مليانة,Khemis,Aïn Defla
سيدي الأخضر,Khemis,Aïn Defla
عين البنيان,Hammam Righa,Aïn Defla
عين التركي,Hammam Righa,Aïn Defla
حمام ريغة,Hammam Righa,Aïn Defla
بوراشد,Djelida,Aïn Defla
الحسينية,Boumedfaa,Aïn Defla
جليدة,Djelida,Aïn Defla
عريب,El Amra,Aïn Defla
جمعة أولاد الشيخ,Djelida,Aïn Defla
العامرة,El Amra,Aïn Defla
العطاف,El Attaf,Aïn Defla
تبركانين,El Attaf,Aïn Defla
عين بويحيى,El Abadia,Aïn Defla
العبادية,El Abadia,Aïn Defla
تاشتة زقاغة,El Abadia,Aïn Defla
